"county_name","state_name","population_size","percent_1to9","percent_10to14","percent_15to19","percent_20to34","percent_35to44","percent_45to64","percent_65plus","median_household_income","median_houshold_year_round_incomes","percent_25year_above_high_school","percent_25year_above_professional_diploma","percent_25year_above_bachelors_degree","percent_25year_above_bacholors_above","management_business_science_arts","service_occupations","sales_office_occupation","naturalresources_construction_maintenance","production_transportation_materialmoving","median_age","avg_house_hold_size"
"Cache County"," Utah","127068","17.8","7.8","9","28.4","19.9","8.1","8.2","24324","80350","18.8","27","14.3","41.3","38.1","15.9","21.5","6.7","17.7","25.4","4"
"Tooele County"," Utah","69907","15.3","11.7","8.8","18.6","26.9","9.6","8.2","36756","91796","32.1","15.7","8","23.7","28.6","16.1","23.7","15.2","16.5","31.6","4"
"Prince William County"," Virginia","468011","14.5","8.3","6.9","19.7","29.6","11.2","9.2","45307","125482","19.2","24.3","17","41.3","44.6","16.6","20.4","9.8","8.6","35.4","4"
"York County"," Virginia","67846","12.5","7.2","7.3","17.5","25.2","13.1","14.7","42318","113513","17.6","26","21.7","47.7","49.9","16.4","16.9","8.9","7.9","39.2","3"
"Clark County"," Washington","481857","12.6","7.1","6.3","19.3","26.5","12.7","14","40551","106544","24.1","20.6","10.6","31.2","38.3","16.7","21.9","9.6","13.5","38.6","3"
"Cowlitz County"," Washington","108987","11.7","7.4","6.4","17.5","23.9","13.9","16.8","32517","93322","33.1","11.6","5.4","17","24.5","19.9","22.2","13.3","20.1","40.5","3"
"Lewis County"," Washington","79604","11.2","6.7","6","17.2","23.1","15","18.7","35339","97164","29.4","11.9","6.7","18.6","30.5","20.9","17","14","17.7","43.4","3"
"Mason County"," Washington","65507","11.1","5.2","5.2","17.1","22.5","16.2","20.3","25689","96212","30.1","13.3","6.6","19.9","-999999999","-999999999","-999999999","-999999999","-999999999","45.7","3"
"Pierce County"," Washington","891299","13.6","6.3","6","22.2","25.8","12.4","12.3","40599","106410","25.8","18.3","10.1","28.4","35","18.7","20.9","10.1","15.3","36.4","3"
"Monongalia County"," West Virginia","106420","9","5.2","8.2","32","23.3","9.9","10.8","24916","87347","26.5","22","24.3","46.3","44.3","21.8","19.6","5.8","8.5","32.4","3"
"Raleigh County"," West Virginia","74254","10","7.6","6.1","16.2","25.7","13.5","19.2","26547","77606","37.7","9.3","8.3","17.6","32.1","18.6","30","10.8","8.5","41.8","3"
"Brown County"," Wisconsin","263378","12.9","7","6.8","19.3","25.9","13.1","13.3","35012","91106","30.8","20.6","8.9","29.5","37.1","16.7","20.6","6.8","18.9","38.1","3"
"Rock County"," Wisconsin","163129","12.3","6.5","6.8","18.7","25","14","14.7","32317","84404","37.2","14.4","7.7","22.1","30.9","17.1","19.8","10.3","21.9","39.4","3"
"Sheboygan County"," Wisconsin","115456","10.7","7.1","6.6","17.5","25.2","14.9","15.6","39879","95043","34.8","15.8","8.1","24","30.7","14.5","19.3","9.5","26.1","40.8","3"
"Laramie County"," Wyoming","98976","12.7","6.9","6.6","20.1","24.4","13","14.6","36714","92771","28.6","17.7","8.7","26.5","34.6","18","21.2","14","12.1","37.9","3"
"Madison County"," Alabama","366519","12.2","5.8","6.6","20.6","25.7","14","13.7","36056","106297","20","26.9","16.6","43.5","49.9","14","20.1","6.2","9.9","38.5","3"
"Walker County"," Alabama","63711","12.7","5.5","5.9","18.2","24.2","14.5","17.1","32285","84219","35.6","7.9","4.1","12","26.3","16.3","19.7","16.3","21.4","41.5","3"
"Benton County"," Arkansas","272608","14.1","7.7","6.8","20.5","26.8","10.8","11.6","37058","88065","28.8","20.6","12.5","33.2","36.2","15.1","22.7","8.2","17.8","35.5","3"
"Riverside County"," California","2450758","13.4","7.4","7.2","20.9","25.3","11.5","12.7","31936","91517","29.3","14.2","8.1","22.2","29.5","21.2","23.4","11","15","35.8","4"
"Santa Clara County"," California","1937570","11.6","6.6","5.9","22.4","28.2","11.8","11.5","57158","163127","13.7","28.4","25.4","53.8","54.5","14.4","17","5.9","8.2","37.2","3"
"Santa Cruz County"," California","274255","10.4","5.3","8.7","22","23.8","13.4","15.1","32448","121761","15.2","23.3","16.9","40.1","41.7","19.9","19","9.4","9.9","37.9","3"
"Stanislaus County"," California","549815","14.3","8.2","7.2","21.1","24.8","11.2","11.6","32907","92615","31","11.4","5.2","16.6","28.8","18.7","19.4","13.8","19.3","34.5","4"
"Sutter County"," California","96807","14.5","7.2","6.8","20.6","23.6","12.1","13","31254","90030","23.1","12.9","6.3","19.2","27.3","19.6","23","12.5","17.6","35.7","4"
"Ventura County"," California","850967","12.2","6.7","6.7","20.1","25.6","13.2","13.3","36491","103938","20.3","20.3","12.1","32.5","37.6","18.1","21.4","11.7","11.2","38.4","4"
"Adams County"," Colorado","511868","14.2","8","6.8","22.8","27","11","9.4","36355","90483","28.9","16.9","8.8","25.7","31.2","16.2","23.5","13.7","15.3","34","4"
"Pueblo County"," Colorado","167529","11.4","6.6","7.3","18.9","24.1","13.3","16.1","30732","89291","28.5","14.4","7.4","21.8","29.3","22.7","24.1","11.9","12","39.4","3"
"New Haven County"," Connecticut","857620","10.2","6.3","6.8","20.3","25.1","14","14.7","40163","114011","31.6","18.4","16.6","35.1","42.4","18.3","21.2","7","11.1","40.5","3"
"Indian River County"," Florida","157413","9.9","4","4.3","12.1","20.6","16.5","28.1","29564","77480","26","19","10.9","29.8","35","19.3","24.8","11.1","9.8","54.5","4"
"Manatee County"," Florida","394855","9.7","5.6","5.1","15.4","22.3","14.7","23.8","31440","81642","30.5","16.9","12.2","29.2","35.6","19.7","23.1","10.5","11.1","48.7","3"
"Palm Beach County"," Florida","1485941","10.2","5.5","5.5","17.4","24.3","13.3","19.8","32024","90987","24.4","22.7","14.2","36.9","37","22.8","22.6","8.7","8.8","44.9","3"
"Putnam County"," Florida","74163","11.5","6.2","5.8","16.1","22.1","15.1","22.4","25473","72963","43.5","8.2","4","12.3","-999999999","-999999999","-999999999","-999999999","-999999999","44.9","3"
"Bibb County"," Georgia","153095","13.2","7.3","6.7","21.3","23.5","12.4","13.8","26849","77901","28.5","15.3","10.1","25.4","34.1","20.6","22.7","5.4","17.2","36.3","3"
"Cherokee County"," Georgia","254149","12.3","7.7","7","17.8","28.6","12.4","13.3","38633","107186","22.7","28.1","11.2","39.2","42.9","13.7","25.7","9.2","8.5","38.6","3"
"DeKalb County"," Georgia","756558","13.7","6","5.6","23.1","27.4","11.8","10.9","37179","97842","20.9","26.6","19.3","45.8","45.9","14.8","20.6","7.1","11.6","35.9","3"
"Douglas County"," Georgia","145331","12.6","8.2","8.1","18.3","29.2","11.7","10.9","33713","84857","27.4","17.3","7.6","24.9","33.7","13.6","24.7","9.4","18.6","36.8","3"
"Forsyth County"," Georgia","236612","13.7","8.6","7.5","14.4","33","10.8","11.4","50787","137922","16.9","34","20.5","54.5","54.9","11.3","20.7","5.1","8","38.8","3"
"Fulton County"," Georgia","1050114","12.1","6","6.7","24.2","28","11.3","10.4","42467","118992","18.4","31.8","22.3","54.1","51","14.2","21.5","3.4","9.9","35.6","3"
"Glynn County"," Georgia","85219","12.5","5.6","6.1","16.5","25.7","13.7","17.5","28002","81137","23.9","19.2","13.6","32.8","36.5","19.4","21.2","7.3","15.6","40.3","3"
"Gwinnett County"," Georgia","927781","13.6","8.4","7.5","19.8","29.1","11.6","9.1","36007","91902","22.4","23.1","13.3","36.4","36.9","16.6","23.6","10.4","12.5","35.5","4"
"Muscogee County"," Georgia","194160","14","7","6.5","23.4","24.1","11.6","11.5","29726","81606","27.2","13.8","10.8","24.6","31.8","21.6","23","8.8","14.8","34.2","3"
"Hawaii County"," Hawaii","200983","12.5","5.8","5.4","17","23.4","14.8","19.1","32314","87109","27.3","19.1","10.5","29.6","32.9","26.2","20.3","10.5","10","42.5","3"
"Kauai County"," Hawaii","72133","12.1","6","5.9","16.6","25.1","13.9","18.1","34674","79801","26.8","22.2","9.2","31.4","25.3","37.8","17.9","9","9.9","42","4"
"Ada County"," Idaho","469966","11.4","7.8","7.2","20.1","27.1","12.1","13","36401","99754","23.5","26.5","13","39.6","44.3","16.2","23.9","7.5","8.1","37.4","3"
"Canyon County"," Idaho","223499","15.2","8","7.7","20.1","24.2","10.6","12.8","27826","71362","30.1","12.4","5.7","18.1","28.2","17.7","23.2","15.6","15.3","34.4","4"
"Lake County"," Illinois","700832","11.9","7.5","7.7","18.4","26.6","13.7","12.5","40506","116521","20.9","26.5","19.4","45.9","44.7","14.3","22.2","6","12.8","38.5","3"
"McHenry County"," Illinois","308570","11.4","7.5","7.1","16.9","27.9","14.7","12.8","41940","116057","25.9","23","12.1","35.1","39.2","15.1","22.6","9.4","13.8","40.9","3"
"Tazewell County"," Illinois","132328","12.2","6.4","5.8","17.6","25.1","13.7","15.7","36331","97840","32.3","17.1","9.3","26.4","38.2","14.4","22.4","10","15","41","3"
"Clark County"," Indiana","117360","12","7","5.6","19.7","26.7","13.4","14.5","34959","86073","33","14.2","8.2","22.4","32.6","14.6","23.5","10.8","18.5","39.1","3"
"Grant County"," Indiana","65936","10.4","6.9","6.6","19.2","23.4","14.4","16.6","27681","81872","38.1","8","6.9","14.9","26.2","20.9","21","7.6","24.3","41.4","3"
"Johnson County"," Indiana","156225","13.1","7.9","6.3","19.7","26.4","12","13.2","37451","95528","33","21.5","9.7","31.2","38.7","15.1","22.7","9.7","13.8","37.1","3"
"Porter County"," Indiana","169594","11.5","6.7","6.8","18.8","26","14.2","14.4","36976","103304","37.4","17.2","11.2","28.5","38.3","16.5","18.2","10.4","16.7","39.6","3"
"Black Hawk County"," Iowa","132408","11.8","6.4","7.5","23.9","21.8","12.6","14.1","28602","83764","30.6","19.2","8.8","28","30.7","21.2","21.7","6.2","20.2","35.2","3"
"Johnson County"," Iowa","151260","11.3","5.8","8","31","22.4","9.9","10.3","30997","98771","13.5","25.6","28.4","54","49.5","18","16.7","5.7","10.1","30.3","3"
"Sedgwick County"," Kansas","513607","14.1","7.4","6.7","20.9","23.8","12.7","12.6","32118","92068","25.6","19.6","12.2","31.7","35.9","17.7","20.3","9.9","16.1","35.7","3"
"Boone County"," Kentucky","131533","13.5","7.4","7.3","19.1","27","12.5","12.1","39104","105420","30.3","20.7","12.1","32.8","38.7","13.9","24.1","5.2","18.1","38.2","3"
"Jefferson Parish"," Louisiana","434051","12.3","6.3","5.4","20","25","13.9","15.3","31908","86178","29.9","19.4","9","28.3","34.3","21","23.3","10.3","11.1","39.7","3"
"Lafourche Parish"," Louisiana","98115","12.9","6.9","6.8","19.9","24.8","12.9","14","36172","101370","40.8","10.9","6.1","17","28.1","17.5","21.6","12.7","20","38.1","3"
"York County"," Maine","206229","9.6","6","5.4","16.9","25.2","16.4","18.3","36434","97638","31.4","21.3","9.7","30.9","38.1","17.6","21.1","10.2","13","45.8","3"
"Howard County"," Maryland","323196","12.6","7.3","6.6","17.9","28.7","13.1","12.7","59455","160690","14.7","31.7","30.5","62.3","60.2","12.3","17","4.7","5.8","39.2","3"
"Montgomery County"," Maryland","1052567","12.9","6.4","6.1","18.4","27.7","13.1","13.5","49025","142667","13.1","26.8","31.8","58.6","54.1","17","16.9","6","6","39.2","3"
"Baltimore city"," Maryland","602495","11.9","5.5","5.9","25.9","24.2","12.7","12.2","36970","94455","29.3","16.6","16.6","33.1","45.2","18.8","18.8","5.3","11.9","35.5","3"
"Allegan County"," Michigan","117327","12.4","7.4","6.4","17.2","25.3","14.3","15.1","35689","92219","35","14.1","9.2","23.3","28.7","13.8","19.3","12.1","26.1","40.2","3"
"Kent County"," Michigan","653786","13.5","6.6","6.6","22.6","24.7","12.3","12","32600","92824","24.1","24.2","12.3","36.5","37.7","15.4","22.5","7.3","17.1","35.5","3"
"Macomb County"," Michigan","874759","11.6","5.5","6","19.5","26","14.3","14.9","35317","97303","28.5","16.2","8.7","25","34.8","17.6","23.1","7.1","17.4","40.7","3"
"Hennepin County"," Minnesota","1259428","12.6","6","5.7","23.2","25.9","12.6","12.1","43013","116691","16.4","32.3","18.7","51","49.6","15.3","21.3","3.7","10.1","36.5","3"
"Rice County"," Minnesota","66523","10.6","7.4","10.3","19.5","23.6","12.9","12.9","32467","94485","31.7","20","8.5","28.4","36.7","18.1","17.8","10.1","17.3","36.2","3"
"Jones County"," Mississippi","68461","13.9","6.5","8.2","17.5","24.1","12.4","15.3","34700","73656","31.6","13.7","9.8","23.4","-999999999","-999999999","-999999999","-999999999","-999999999","37.6","3"
"Cass County"," Missouri","104954","12.8","6.6","7.4","15.8","26.1","14.2","15.3","37190","100112","33","18","8.9","26.9","35.1","19.8","21.3","11.2","12.6","41","3"
"Cole County"," Missouri","76796","11.5","7","6.2","19.7","26","12.7","15.5","33610","85361","28.6","23.6","11.6","35.2","40.4","14.6","23.6","8","13.5","39.1","3"
"Franklin County"," Missouri","103670","12.3","6.4","6.3","18.2","24.6","15","15.2","33199","81249","33","12.9","6.7","19.6","30.6","16.3","18.3","14.9","20","40.4","3"
"St. Louis County"," Missouri","996945","11.9","6.2","6.2","19","24.4","14.1","15.7","38933","107971","20.7","24.8","19.1","43.9","46.2","14.9","23.6","5","10.4","40.4","3"
"St. Louis city"," Missouri","302838","10.9","5.4","4.4","27.4","24.7","13.3","11.9","35106","92917","23.6","20.9","16.2","37.1","45.2","20.9","18","4.3","11.5","36.4","3"
"Strafford County"," New Hampshire","130090","10.2","4.8","10","22.6","23.9","13.8","12.8","34580","99261","29.2","24.1","12.4","36.5","36.8","17.8","23.7","8.3","13.3","37.3","3"
"Burlington County"," New Jersey","445384","10.9","6.1","6","18.7","26.7","14.7","14.7","45337","117429","26.9","24.3","14","38.3","44.1","14.4","25.8","5.8","9.9","41.7","3"
"Camden County"," New Jersey","507078","11.9","6.9","6.1","19.9","26","13.5","13.8","39411","106692","28.6","19.3","12.3","31.7","38.9","16.8","23.8","7.1","13.4","38.8","3"
"Essex County"," New Jersey","799767","13.3","6.5","6.3","20.2","28","12.2","11.6","39437","107156","28.4","21.2","15.8","36.9","41.3","18.8","19.2","7.6","13","37.8","3"
"Mercer County"," New Jersey","369811","11.1","6.4","7.2","20.5","26.6","13.1","13.2","40189","118566","25.4","22","20.2","42.2","43","18.5","21.3","5.6","11.6","38.9","3"
"Otero County"," New Mexico","66781","13.6","6.2","6.8","21.5","22.4","13.4","14.8","26536","77228","28.7","13","7.5","20.6","-999999999","-999999999","-999999999","-999999999","-999999999","36.2","4"
"Onondaga County"," New York","461809","12","5.4","7.2","20.3","23.9","14","14.5","37344","103359","26","19","16.6","35.7","42.3","17.7","23.1","6.1","10.8","39.3","3"
"Ontario County"," New York","109864","10.8","5.5","6.2","17.4","25.1","15.2","17.3","35736","101110","24.1","20.6","17.2","37.8","44","18.5","19.4","8.3","9.8","43.7","3"
"Rensselaer County"," New York","159442","10.2","5.8","7.2","21.1","24.6","14.5","14.3","39924","105226","29.9","19.2","12","31.3","39.3","16.7","24.6","8.7","10.6","39.4","3"
"Warren County"," New York","64265","10.8","3.4","6","16.1","24.8","16.6","18.8","31807","87170","32.1","16.7","15.1","31.8","35.3","22.1","20.9","8.5","13.3","47.1","3"
"Wayne County"," New York","90064","10.7","7.2","5.6","16.8","24.5","16.1","16.8","34684","87986","33.3","14.3","10.4","24.7","33.4","15.3","21","13.3","17","44","3"
"Davidson County"," North Carolina","166614","11.5","6.5","5.8","17.3","26.4","14.4","16.4","31424","78113","31.5","13.1","5.2","18.3","32.1","14.7","21","12.6","19.6","42.2","3"
"Franklin County"," North Carolina","67560","10.2","7.8","5.6","18.3","26","15","15.8","38240","93657","32.8","14.4","7.6","22","37.5","17.2","20","9.6","15.8","40.6","3"
"Gaston County"," North Carolina","222846","12.6","5.9","6.4","19","27.1","13.2","14.2","31240","85174","31","14.4","5.8","20.1","30.5","17.8","21.3","10.7","19.7","40.2","3"
"New Hanover County"," North Carolina","232274","9.7","5.5","6.4","23.3","24.5","12.8","15.8","31363","86398","20.2","28.6","12.8","41.5","40.6","20","21.4","7.8","10.2","39.3","3"
"Rutherford County"," North Carolina","66826","10.8","5","7.6","15.6","24.1","16","19.2","28858","71683","29.7","10.5","5.9","16.4","-999999999","-999999999","-999999999","-999999999","-999999999","45","3"
"Surry County"," North Carolina","71948","10.7","6.5","6.3","17.3","25","13.3","18.2","31273","77934","30.7","12","5.4","17.4","32","14.3","21.6","11.5","20.6","44.2","3"
"Jefferson County"," Ohio","65767","8.9","6.4","5.6","18.3","23.3","15.4","19.7","27003","88712","46.8","9.3","5.7","15","28","19.4","23.8","10.7","18.2","45.2","3"
"Licking County"," Ohio","175769","12.8","6.3","6.8","17.7","25.9","14.1","14.3","36841","93736","34.5","19.5","9.3","28.9","35.9","17.2","22.1","8.8","16","39.8","3"
"Wayne County"," Ohio","115967","13.1","7","7.1","18.4","22.7","14.3","15.4","31090","82420","40","13.9","9.1","22.9","30.2","17.9","18.7","10.5","22.6","38.9","3"
"Douglas County"," Oregon","110283","10.2","5.7","5.6","15.3","22.4","15.6","23.2","30851","78392","34.2","14.3","5.7","20","30","19","25.7","9.3","15.9","47","3"
"Jackson County"," Oregon","219564","11.1","5.6","5.3","18.7","23","14","19.4","31162","82650","23.9","17.5","10.6","28.1","35.7","20.8","21.7","9.9","12","42.9","3"
"Franklin County"," Pennsylvania","154835","11.3","7.3","6.1","17.8","24.8","13.3","16.8","31988","87495","42.9","12.6","8.3","20.9","29.5","15.5","19.8","12.1","23.1","40.7","3"
"Indiana County"," Pennsylvania","84501","9.5","4.9","8.6","21.8","21.2","14.6","16.8","24602","82256","42.4","12.6","11.7","24.4","31.6","21.3","16.5","12.8","17.8","40.6","3"
"Mercer County"," Pennsylvania","110683","9.5","6.1","6.7","17.1","23.7","15.3","18","27854","85236","42.9","13.2","7.1","20.4","33","22.2","18.3","8.6","17.9","44.8","3"
"Montgomery County"," Pennsylvania","828604","11.4","6.3","6.2","18.2","26.1","14.2","15.1","47286","127945","23.9","27.5","21.2","48.7","50.8","13.3","21.3","5.5","9","41.2","3"
"Somerset County"," Pennsylvania","73952","9.6","4.8","5.1","16.3","25.9","15.9","19.7","28154","77943","50.2","10.3","5.4","15.7","31.8","18.7","19.3","12.4","17.7","46.8","3"
"York County"," Pennsylvania","448273","11.7","6.5","6.5","18","25.7","14.2","15.3","37191","95538","39.1","16.8","8.8","25.6","36.5","14.1","21.7","9.1","18.6","40.9","3"
"Providence County"," Rhode Island","636084","11.6","5.3","6.9","22.6","25.2","13","12.9","35291","93694","32.2","17","11.6","28.6","34.9","20.2","22.1","6.4","16.4","37.4","3"
"Anderson County"," South Carolina","200482","12","6.7","6.7","18.2","25","13.5","16.4","31980","86021","29.7","15.1","8.7","23.8","32.5","18.4","21.1","8.2","19.8","40.6","3"
"Beaufort County"," South Carolina","188715","10.3","5.3","6","17.4","20","13.6","25.1","30660","84276","22.1","24.9","17.9","42.9","36.3","21.9","23.9","8.8","9.1","45.5","3"
"Minnehaha County"," South Dakota","192876","14.5","7","6.4","21.2","25.5","12.3","11.2","32786","86297","26.1","23.1","11","34","35.1","16.9","23.8","7.9","16.3","35.7","3"
"Montgomery County"," Tennessee","205950","15.5","7.2","6.8","27.3","24.4","9.7","7.9","32480","80532","27.6","20.7","9.9","30.7","33.5","18.6","22.4","9.2","16.3","30.9","3"
"Rutherford County"," Tennessee","324890","14.1","6.5","7.3","23.7","27.3","10.8","9.5","32481","88966","27.7","21.6","8.7","30.3","33.7","15.7","22.6","8.6","19.4","33.8","3"
"Sumner County"," Tennessee","187149","13","6.6","6.1","17.4","27.6","13.6","13.9","35917","93107","30.5","18.1","8.1","26.2","36","14.3","24.2","8.6","16.8","40.2","3"
"Williamson County"," Tennessee","231729","13.4","8.6","8","13.8","30.3","12.6","12.4","49523","148097","12.5","40.5","22.1","62.6","58.4","10.6","20.8","3.9","6.3","39.5","3"
"Ector County"," Texas","162124","17.8","7.9","7.7","23.5","23.7","10.2","8.6","39299","92732","30","10.8","5.3","16.1","23.4","13.8","21.4","16.7","24.6","30.9","4"
"Gregg County"," Texas","123707","12.8","8.7","7","20.2","23.4","12.5","13","30775","82197","29.9","13.2","7.6","20.8","31.5","17.6","22.3","13.1","15.6","35.5","3"
"Johnson County"," Texas","171361","14.9","6.7","6.8","18.1","26.9","12.7","12.9","38929","88311","35.3","11.9","6","17.9","26.1","12.4","18.4","11.7","31.4","37","3"
"McLennan County"," Texas","254607","13","7.5","8.2","23.6","22.1","11.2","12.6","27000","77114","26.6","16.1","8.8","25","31.8","16.8","21.3","11.9","18.2","32.9","3"
"Nacogdoches County"," Texas","65711","13.2","6.1","10.8","22.6","21.6","11.1","13.2","22278","83769","31","14.4","7.3","21.7","33","16.8","20.9","14.6","14.7","31.8","3"
"Rockwall County"," Texas","100657","13.9","8.4","6.8","16.1","31","11.6","11","47405","115907","19.8","25.8","15.2","41","50.6","15.9","19.9","7.7","6","38.3","3"
"San Patricio County"," Texas","66893","14.5","7.3","7.3","19.3","24.4","12","13.7","32347","82766","31.6","11","5","16.1","34.6","20.6","16.2","10.4","18.2","36.7","4"
"Smith County"," Texas","230221","13.6","6.9","7.1","20","23.7","12.3","14.9","31387","80233","22.8","18.1","10.2","28.3","35.2","19.1","22","10.7","13","36.7","4"
"Tarrant County"," Texas","2084931","14.3","7.6","7.1","21.6","26.7","11.5","10","35964","92927","24.3","21.4","10.8","32.2","35.7","15.4","23.5","9.6","15.9","34.6","3"
"Victoria County"," Texas","92035","12.2","8.9","7.6","19.2","23.8","12.1","14.3","30673","81466","31.7","13.9","6","19.9","26.9","20.4","22.1","12.4","18.1","36.4","4"
"Utah County"," Utah","622213","18.4","9.8","9.5","26.9","21.1","6.7","7","26413","97242","16.8","28.6","13.2","41.8","41.8","14.6","24.9","8.2","10.6","24.9","4"
"Frederick County"," Virginia","88355","11.9","7.1","6.6","16.8","26.6","13.7","15.2","42203","102641","31.6","15.3","13.6","28.9","37.8","16.2","20.3","10","15.7","40.6","3"
"Stafford County"," Virginia","149960","13.5","8","7.4","20.3","28.8","11.9","9.8","48150","128091","24.2","26.6","15.5","42.2","47.6","15.6","19.4","9.8","7.6","35.8","3"
"Alexandria city"," Virginia","160530","12","4","4.4","25.2","31.9","10.3","10.3","61302","154797","10.5","29.7","33.3","63","58.9","13.3","14.3","6.3","7.2","36.5","3"
"Suffolk city"," Virginia","91185","12.8","7.3","5.7","19.3","26.7","13.7","13","42462","108425","26.8","18.2","13.5","31.7","41.7","14.4","17.6","8.3","18","38.8","3"
"King County"," Washington","2233163","11.6","5.5","5.3","24.4","28.1","11.9","11.5","50875","141689","15.1","31.7","21.5","53.2","53.1","14.6","18.4","5.2","8.7","36.8","3"
"Yakima County"," Washington","251446","16.6","8.4","7.6","20.1","22.8","11","12.2","28223","72867","27.7","10.2","6.6","16.8","25.1","18.2","16.1","20.7","19.9","33.3","3"
"Harrison County"," West Virginia","67554","10.4","5.9","7","16.9","25.5","14.3","16.9","32468","81003","41.6","12.1","9.2","21.3","37.1","18.4","19.1","10.8","14.6","42.9","3"
"Ozaukee County"," Wisconsin","89147","10.6","6.4","6.6","15.8","24.9","15.8","17.8","45854","126179","19.8","28.7","20.1","48.7","50.2","11.8","19.3","6.4","12.2","44.3","3"
"Walworth County"," Wisconsin","103718","10.1","6.5","7.8","19.4","23.5","15.2","15.2","32027","91384","32.6","17.4","9.3","26.6","29.3","18.6","22","11.7","18.5","40.1","3"
"Waukesha County"," Wisconsin","403072","10.9","6.5","6.5","15.9","26","15.6","16.1","45342","122838","22.1","29.5","16.1","45.6","47.2","12.8","23.6","6","10.4","43.2","3"
"Caguas Municipio"," Puerto Rico","124434","8.5","6","6.5","19.2","26.2","13","17.9","18944","52787","8.6","35.5","35.5","18.6","38","20.4","26.8","6.5","8.4","42.6",NULL
"Cullman County"," Alabama","83442","12.2","6.3","6.3","17.7","25.1","13.8","17.6","30267","78534","31.1","8.4","3.7","12.1","23.4","15.6","21.4","15.4","24.2","40.6","3"
"Shelby County"," Alabama","215707","11.6","6.8","6.7","18.1","28.4","13","14","40263","106214","19.3","26.9","13.8","40.7","43.3","15.4","23.6","7.6","10.1","40.4","3"
"Talladega County"," Alabama","79828","11.1","6","7.1","17.7","26","14","16.5","27652","78888","34.8","9.2","5.5","14.7","23.9","15.1","22.5","10.6","27.9","41.5","3"
"Tuscaloosa County"," Alabama","208911","11.2","6","10.7","24.4","23","11.4","11.9","27821","87104","31.2","17.7","12.2","29.9","35.8","16.7","19.7","7.7","20.1","33","3"
"Matanuska-Susitna Borough"," Alaska","107610","14.1","7.8","7.7","19.4","25.4","13.5","11","40071","114913","32.9","14.2","8.7","22.9","36.5","19.1","17.4","16.4","10.5","35.5","4"
"Apache County"," Arizona","71818","14.6","8.2","7.9","18.9","22.3","12.9","13.4","32090","73699","33.3","6.6","5","11.6","32.4","21.8","18.6","14.6","12.5","35.4","4"
"Mohave County"," Arizona","209550","9.4","4.7","4.4","15.1","19.8","16.2","27.7","27537","74865","34.5","9.7","4.6","14.3","29.3","25.9","22.2","8.8","13.8","52.5","3"
"Pima County"," Arizona","1039073","10.9","6.4","6.7","21.4","22.3","12.4","17.7","29615","81424","23.3","18.5","13.1","31.5","36.1","23.2","21.7","9.4","9.6","39","3"
"Pinal County"," Arizona","447138","11.8","7","6","18.5","24.3","12","18.9","32843","89494","29.3","12.3","7.4","19.7","32","20.2","23.1","11.5","13.1","39.8","3"
"Yuma County"," Arizona","212128","13.8","7.3","7","21.8","21.5","9.7","17.4","27224","70030","27.1","11.5","5.3","16.8","28","22.2","17.8","17.8","14.3","35.1","3"
"Pulaski County"," Arkansas","392680","13.1","6.5","5.9","21.1","24.9","13.1","13.7","33377","87803","26.5","19.2","14.5","33.7","41.2","18.2","22.3","5.7","12.7","37.9","3"
"Washington County"," Arkansas","236961","13.7","6.5","8.2","26.3","23.8","10.1","10","31532","81395","26.2","19.5","14.3","33.7","38.7","16","20.8","8.8","15.6","32.2","3"
"Los Angeles County"," California","10105518","11.7","6.3","6.2","23.1","27","12","11.7","33635","92811","20.6","21.3","11.2","32.5","37.3","19.4","21.7","7.8","13.8","36.7","4"
"Mendocino County"," California","87606","12.3","5.5","5.9","15.9","23.6","14.9","20.1","26757","76361","25.3","14.9","8.8","23.7","27.8","21.4","22.6","14.6","13.6","42.9","3"
"Orange County"," California","3185968","11.4","6.6","6.4","21","27","12.7","12.8","40419","113209","17.2","26.4","14.7","41","42.9","17.5","23.6","5.9","10.2","38.3","4"
"Placer County"," California","393149","11.6","6.4","6.4","16.1","26.4","13.5","17.2","46607","141868","17.8","27.6","13.3","40.9","44.9","16.7","24","6.3","8.2","42.3","3"
"Sacramento County"," California","1540975","12.8","6.9","6.2","22","25.9","12.2","12.3","37071","103429","22","20.8","10.6","31.4","39.6","18.9","22.6","8","10.9","36.4","3"
"Solano County"," California","446610","12","6.5","6.1","21","25.1","13.5","13.9","42004","113443","23.4","18.7","8.9","27.7","34","18.6","21.6","11.7","14","38.5","3"
"Litchfield County"," Connecticut","181111","9.3","5.1","5.7","15.7","25.5","17.7","18.5","41758","111258","31.5","19.1","14.1","33.2","40.4","17.7","21.2","8.6","12.1","47.6","3"
"Middlesex County"," Connecticut","162682","9.7","4.5","6","18","25.7","16.2","17.3","50131","131650","21.8","22.4","22.5","44.9","47.7","17","20.7","7.3","7.2","45.6","3"
"Columbia County"," Florida","70503","13.7","4.8","6.1","16.9","25.9","14.2","16.1","32199","74974","36.9","7.9","4.7","12.7","33","19.6","21.6","13","12.7","40.7","3"
"Hernando County"," Florida","190865","9.3","5.6","5.4","14.7","22.9","14.4","24.1","29330","75768","33.8","11.9","5.9","17.8","30.4","20.9","26.7","10.4","11.7","49.1","3"
"Martin County"," Florida","160912","7.4","5.9","5.4","13.9","20.8","15.3","26.3","35146","93000","24.8","21.4","13.2","34.5","38.6","19.4","24.2","10.2","7.6","52.5","3"
