"county_name","state_name","population_size","percent_1to9","percent_10to14","percent_15to19","percent_20to34","percent_35to44","percent_45to64","percent_65plus","median_household_income","median_houshold_year_round_incomes","percent_25year_above_high_school","percent_25year_above_professional_diploma","percent_25year_above_bachelors_degree","percent_25year_above_bacholors_above","management_business_science_arts","service_occupations","sales_office_occupation","naturalresources_construction_maintenance","production_transportation_materialmoving","median_age","avg_house_hold_size"
"Arecibo Municipio"," Puerto Rico","82114","8.5","5.7","6.2","19.1","25.6","12.9","19.9","14782","42966","8.6","35.5","8.6","18.6","-999999999","-999999999","-999999999","-999999999","-999999999","43",NULL
"Mayagüez Municipio"," Puerto Rico","71986","8.9","4.4","7.9","22.1","20","12.5","21.3","13553","50640","8.6","35.5","8.6","18.6","-999999999","-999999999","-999999999","-999999999","-999999999","42.6",NULL
"Elmore County"," Alabama","81887","11.8","6.1","6.8","20.7","26.5","13","13.8","34085","85391","32.5","17.9","7.4","25.3","38.1","15.6","23.2","8.8","14.3","38.4","3"
"Mobile County"," Alabama","413757","12.5","6.9","6.5","20.6","24.2","13.4","14.4","31097","81160","34.6","14.7","7.6","22.3","33.2","18.3","20.9","11.3","16.3","38.1","3"
"St. Clair County"," Alabama","88690","13","6.4","5.9","17.7","26.6","13.8","15.2","32378","95005","36.9","12.6","6","18.7","32.1","20.1","20.1","13.6","14.1","40.4","3"
"Cochise County"," Arizona","126770","12","5.9","6.3","17.5","22.5","13.4","19.9","28269","79446","24.9","13.1","8.8","21.8","33","24.4","23.7","8.8","10.1","41","3"
"Coconino County"," Arizona","142854","10.4","6.8","11.9","25.8","21.1","11.4","11.4","25386","81829","20.9","21.3","14.7","36","36.9","21.8","23.1","9.3","9","30.8","3"
"Faulkner County"," Arkansas","124806","13.5","5.7","8","25.5","23.9","10.8","11.3","34706","90056","28.2","19.8","11.7","31.4","41.7","16.7","22.9","9.7","9","32.9","3"
"Sebastian County"," Arkansas","127753","13","6.7","6.8","19.8","24.9","13.1","14.2","29042","76332","30.4","14.2","7.5","21.7","31.9","17.6","19","9","22.5","38.6","3"
"Contra Costa County"," California","1150215","11.5","7","6.4","18.6","27.6","13.2","14","47591","142221","17.3","26.7","16.9","43.6","45.2","17.3","20.5","7.7","9.2","40","3"
"Fresno County"," California","994400","15.6","8.3","7.2","22.5","23.8","10.5","10.5","29226","84767","22.6","14.4","7.4","21.8","30.8","19.7","19.7","15.8","13.9","32.5","4"
"Humboldt County"," California","136373","11.6","4.7","6.4","22.4","23.9","13.3","15.8","24351","80208","23.8","20.4","9.6","30","30.6","24.9","23.3","10.1","11","38.5","3"
"Madera County"," California","157672","15.1","8","7.3","20.4","24.3","10.9","12.4","26557","75778","23.2","10.8","4.6","15.4","23","17.4","21.3","28","10.2","34.3","4"
"Napa County"," California","139417","9.7","7.2","6.7","18.7","25.1","13.4","17.3","37855","107474","18.9","23.6","11.2","34.9","35.7","19.3","22.1","11.3","11.8","41.1","3"
"Boulder County"," Colorado","326078","9.7","5.8","8.1","24.2","25.3","12.8","12.3","37352","121455","10.9","34.7","27.8","62.5","53.7","14.1","21.1","4.6","6.5","36.6","3"
"El Paso County"," Colorado","713856","13.5","6.7","6.8","24.1","24.5","11.7","11.3","33428","91876","19.5","23.2","15.6","38.8","41.4","17.7","22.4","9.3","9.3","34.3","3"
"Jefferson County"," Colorado","580233","10.7","5.6","5.6","20.4","26.8","14.4","14.4","44990","113036","19.6","28.8","17","45.8","48","14.1","20.9","7.3","9.6","40.3","3"
"Clay County"," Florida","216072","11.9","7.4","6.7","17.7","27","13.4","14.9","35452","85447","28.7","17.6","7.8","25.4","33.4","18.4","25","10.6","12.6","39.6","3"
