county_name,stat_name,population_size,median_household_income,median_houshold_year_round_incomes
Lucas County, Ohio,429899,30623,87403
Sarasota County, Florida,426718,31551,87633
Dakota County, Minnesota,425423,44905,118619
Cameron County, Texas,423908,22464,60534
Berks County, Pennsylvania,420152,35160,92670
Clackamas County, Oregon,416075,41655,112651
Hillsborough County, New Hampshire,415247,41492,108833
Richland County, South Carolina,414576,30183,79492
Mobile County, Alabama,413757,31097,81160
Genesee County, Michigan,406892,30173,87104
Loudoun County, Virginia,406850,62949,174428
Charleston County, South Carolina,405905,38278,96270
Waukesha County, Wisconsin,403072,45342,122838
St. Charles County, Missouri,399182,42585,114248
Manatee County, Florida,394855,31440,81642
Placer County, California,393149,46607,141868
Pulaski County, Arkansas,392680,33377,87803
Orleans Parish, Louisiana,391006,31346,91661
Butler County, Ohio,382378,32810,92165
Orange County, New York,381951,36578,107383
Lane County, Oregon,379611,27295,83959
Forsyth County, North Carolina,379099,32524,83587
Collier County, Florida,378488,30813,80915
Allen County, Indiana,375351,31296,84815
Stark County, Ohio,371574,31333,88617
Washtenaw County, Michigan,370963,32044,119406
Brazoria County, Texas,370200,42490,109321
Mercer County, New Jersey,369811,40189,118566
Lehigh County, Pennsylvania,368100,35672,93578
Osceola County, Florida,367990,25102,67521
Madison County, Alabama,366519,36056,106297
Hamilton County, Tennessee,364286,32557,86851
Nueces County, Texas,362265,32533,83121
Marion County, Florida,359977,27471,71362
Lake County, Florida,356495,30357,78764
Bell County, Texas,355642,30854,81374
Anoka County, Minnesota,353813,42577,109901
Davis County, Utah,351713,36681,104965
Westmoreland County, Pennsylvania,350611,35923,94343
Larimer County, Colorado,350518,35597,104611
Chesterfield County, Virginia,348556,41144,105129
Marion County, Oregon,346868,30175,80732
Horry County, South Carolina,344147,26187,73047
Douglas County, Colorado,342776,55346,155605
Galveston County, Texas,337890,40611,112606
Cumberland County, North Carolina,332330,28482,73193
Somerset County, New Jersey,331164,61305,160510
Hamilton County, Indiana,330086,50470,132450
Henrico County, Virginia,329261,40384,102256
Boulder County, Colorado,326078,37352,121455
Rockland County, New York,325695,41656,128046
Rutherford County, Tennessee,324890,32481,88966
Fayette County, Kentucky,323780,31203,88703
Howard County, Maryland,323196,59455,160690
St. Lucie County, Florida,321128,30607,76318
San Juan Municipio, Puerto Rico,320967,19523,55232
Luzerne County, Pennsylvania,317646,31189,85352
Lancaster County, Nebraska,317272,32012,90716
Durham County, North Carolina,316739,35895,97099
Escambia County, Florida,315534,31180,82889
Weld County, Colorado,314305,36887,102351
Spartanburg County, South Carolina,313888,30784,77173
Lorain County, Ohio,309461,34540,98518
Rockingham County, New Hampshire,309176,45513,122727
McHenry County, Illinois,308570,41940,116057
Lubbock County, Texas,307412,28783,83788
Albany County, New York,307117,36821,107120
Northampton County, Pennsylvania,304807,36131,99208
St. Louis city, Missouri,302838,35106,92917
Lexington County, South Carolina,295032,34902,89510
Dutchess County, New York,293718,39770,114268
Cumberland County, Maine,293557,39128,104643
