county_name,stat_name,population_size,median_household_income,median_houshold_year_round_incomes
Polk County, Oregon,85234,30423,90354
Glynn County, Georgia,85219,28002,81137
Lee County, Mississippi,85202,31864,76740
Jefferson County, Wisconsin,85129,34931,93139
Crawford County, Pennsylvania,85063,30464,81543
Indiana County, Pennsylvania,84501,24602,82256
Island County, Washington,84460,32205,91290
Chemung County, New York,84254,31544,84560
Wood County, West Virginia,84203,29612,74146
Guaynabo Municipio, Puerto Rico,83787,17825,55778
Lincoln County, North Carolina,83770,35640,91218
Orange County, Texas,83572,34374,96265
Cullman County, Alabama,83442,30267,78534
Midland County, Michigan,83209,32949,100336
St. Landry Parish, Louisiana,82764,26665,76129
Bartholomew County, Indiana,82753,35125,99012
Newport County, Rhode Island,82542,47585,128775
Howard County, Indiana,82366,32104,93304
Henderson County, Texas,82299,29896,87802
Lynchburg city, Virginia,82126,20137,72335
Arecibo Municipio, Puerto Rico,82114,14782,42966
Payne County, Oklahoma,82040,22132,82119
Caldwell County, North Carolina,82029,27996,74958
Elmore County, Alabama,81887,34085,85391
Cascade County, Montana,81643,32493,83674
Wilson County, North Carolina,81455,25327,73427
Leavenworth County, Kansas,81352,31721,91478
Rockingham County, Virginia,81244,32178,81940
Bullitt County, Kentucky,81069,34786,88450
Barrow County, Georgia,80809,31528,82706
Clinton County, New York,80695,35952,93198
Wagoner County, Oklahoma,80110,36300,90814
Talladega County, Alabama,79828,27652,78888
Lewis County, Washington,79604,35339,97164
Clearfield County, Pennsylvania,79388,30604,81004
Kosciusko County, Indiana,79344,31401,80866
Clinton County, Michigan,79332,35780,95463
Natrona County, Wyoming,79115,40122,94948
Manitowoc County, Wisconsin,79074,35899,84520
Putnam County, Tennessee,78843,30171,73695
Cape Girardeau County, Missouri,78753,27062,78815
Bedford County, Virginia,78747,34312,89965
White County, Arkansas,78727,27398,79188
Oconee County, South Carolina,78374,31691,85964
Yuba County, California,78041,28356,77519
Floyd County, Indiana,77781,39564,97508
Umatilla County, Oregon,77516,30967,84088
Bulloch County, Georgia,77296,22346,76321
Cayuga County, New York,77145,35497,87797
Chelan County, Washington,77036,30710,74001
Ross County, Ohio,76931,32230,89013
Cattaraugus County, New York,76840,30419,80966
Vermilion County, Illinois,76806,29790,79492
Cole County, Missouri,76796,33610,85361
Clallam County, Washington,76737,32409,93796
Cheshire County, New Hampshire,76493,29343,95040
Anderson County, Tennessee,76482,27129,80249
Valencia County, New Mexico,76456,31385,86433
James City County, Virginia,76397,38346,100518
Hancock County, Indiana,76351,41746,100981
Hancock County, Ohio,75930,33933,89474
Scioto County, Ohio,75502,30796,88318
Sullivan County, New York,75498,32620,93132
Augusta County, Virginia,75457,35757,86797
Van Buren County, Michigan,75448,31313,81839
Lauderdale County, Mississippi,75317,27343,77079
Forrest County, Mississippi,75036,20936,72537
Monroe County, Florida,75027,35313,88950
Coryell County, Texas,74808,25451,67111
Toa Baja Municipio, Puerto Rico,74623,18565,47789
Erie County, Ohio,74615,32358,86635
Raleigh County, West Virginia,74254,26547,77606
Putnam County, Florida,74163,25473,72963
Somerset County, Pennsylvania,73952,28154,77943
Grays Harbor County, Washington,73901,29266,82045
Riley County, Kansas,73703,19698,74972
Lonoke County, Arkansas,73657,36740,86088
Chatham County, North Carolina,73139,36178,95697
Wood County, Wisconsin,73055,34086,83582
Pottawatomie County, Oklahoma,72679,29257,77704
Walker County, Texas,72480,24928,75505
McKinley County, New Mexico,72290,22367,62966
Kauai County, Hawaii,72133,34674,79801
Mayagüez Municipio, Puerto Rico,71986,13553,50640
Surry County, North Carolina,71948,31273,77934
Apache County, Arizona,71818,32090,73699
Christian County, Kentucky,71671,29243,65721
Creek County, Oklahoma,71604,35452,88905
DeKalb County, Alabama,71385,27085,68392
Walton County, Florida,71375,30405,79363
Toa Alta Municipio, Puerto Rico,71094,20734,45728
Robertson County, Tennessee,71012,36650,90181
Allegany County, Maryland,70975,25026,79192
Franklin County, Massachusetts,70963,37542,100119
Portage County, Wisconsin,70942,30354,88563
Iberia Parish, Louisiana,70941,26065,80045
Madison County, New York,70795,32156,87884
Grand Forks County, North Dakota,70770,31424,88775
Greenwood County, South Carolina,70741,28462,64442
Fauquier County, Virginia,70675,49132,127900
Isabella County, Michigan,70562,16805,76088
Columbia County, Florida,70503,32199,74974
Jackson County, Georgia,70422,35879,97722
Morgan County, Indiana,70116,35401,94277
Troup County, Georgia,70034,29079,75464
Tooele County, Utah,69907,36756,91796
Lea County, New Mexico,69611,32455,85101
Carteret County, North Carolina,69524,28350,78540
Walker County, Georgia,69410,29111,78513
Broomfield County, Colorado,69267,51239,127230
Greene County, Tennessee,69087,29737,77260
Lewis and Clark County, Montana,68700,34016,95934
Wilkes County, North Carolina,68557,26891,72834
Jones County, Mississippi,68461,34700,73656
Muskogee County, Oklahoma,68362,31381,77869
Wise County, Texas,68305,34872,97525
Shiawassee County, Michigan,68192,31595,85651
Jefferson County, Arkansas,68114,30732,71032
York County, Virginia,67846,42318,113513
Ward County, North Dakota,67744,36909,90534
Klamath County, Oregon,67653,26141,86287
Franklin County, North Carolina,67560,38240,93657
Harrison County, West Virginia,67554,32468,81003
Belmont County, Ohio,67505,30236,83424
Blue Earth County, Minnesota,67427,30121,86907
Catoosa County, Georgia,67420,32935,82082
Aroostook County, Maine,67111,28116,73821
Williamson County, Illinois,67056,27465,84103
Boone County, Indiana,66999,42987,117049
Laurens County, South Carolina,66994,26566,72772
San Patricio County, Texas,66893,32347,82766
Rutherford County, North Carolina,66826,28858,71683
Darlington County, South Carolina,66802,23374,75779
Otero County, New Mexico,66781,26536,77228
Butler County, Kansas,66765,35205,96419
Harrison County, Texas,66726,26251,73324
St. Francois County, Missouri,66692,27020,71193
Rice County, Minnesota,66523,32467,94485
Marquette County, Michigan,66516,26347,84280
Oldham County, Kentucky,66470,45203,130914
Spalding County, Georgia,66100,29508,71234
Grant County, Indiana,65936,27681,81872
Wayne County, Indiana,65936,30139,75678
Athens County, Ohio,65818,12419,74974
Jefferson County, Ohio,65767,27003,88712
Nacogdoches County, Texas,65711,22278,83769
Adams County, Illinois,65691,34748,80751
Kershaw County, South Carolina,65592,30049,82217
Mason County, Washington,65507,25689,96212
Columbia County, Pennsylvania,65456,32032,87114
McCracken County, Kentucky,65346,27157,76246
Armstrong County, Pennsylvania,65263,33873,86470
Marion County, Ohio,65256,29941,76841
Chaves County, New Mexico,64689,25742,71567
Lake County, California,64382,31813,78052
Warren County, New York,64265,31807,87170
Carbon County, Pennsylvania,64227,35864,91048
Trujillo Alto Municipio, Puerto Rico,63746,21142,49075
Walker County, Alabama,63711,32285,84219
Livingston County, New York,63227,36109,98637
Salem County, New Jersey,62607,36429,89902
